,emotion
1,Not classified
2,Not classified
3,Not classified
4,Not classified
5,Fear
6,Surprise
7,Happy
8,Surprise
9,Surprise
10,Fear
11,Fear
12,Surprise
13,Not classified
14,Surprise
15,Surprise
16,Fear
17,Fear
18,Sad
19,Happy
20,Angry
21,Not classified
22,Surprise
23,Surprise
24,Not classified
25,Happy
26,Fear
27,Sad
28,Not classified
29,Happy
30,Fear
31,Fear
32,Not classified
33,Happy
34,Not classified
35,Not classified
36,Happy
37,Angry
38,Not classified
39,Not classified
40,Not classified
41,Not classified
42,Not classified
43,Fear
44,Not classified
45,Happy
46,Fear
47,Not classified
48,Happy
49,Not classified
50,Surprise
51,Fear
52,Sad
53,Not classified
54,Fear
55,Surprise
56,Not classified
57,Fear
58,Happy
59,Not classified
60,Not classified
61,Happy
62,Surprise
63,Surprise
64,Fear
65,Not classified
66,Surprise
67,Sad
68,Happy
69,Angry
70,Sad
71,Fear
72,Fear
73,Happy
74,Surprise
75,Happy
76,Not classified
77,Surprise
78,Happy
79,Surprise
80,Happy
81,Not classified
82,Sad
83,Not classified
84,Not classified
85,Surprise
86,Surprise
87,Surprise
88,Not classified
89,Fear
90,Surprise
91,Surprise
92,Not classified
93,Happy
94,Fear
95,Surprise
96,Fear
97,Angry
98,Sad
99,Happy
100,Surprise
101,Not classified
102,Happy
103,Angry
104,Happy
105,Sad
106,Fear
107,Surprise
108,Happy
109,Fear
110,Fear
111,Fear
112,Happy
113,Not classified
114,Sad
115,Happy
116,Fear
117,Surprise
118,Sad
119,Not classified
120,Not classified
121,Not classified
122,Not classified
123,Happy
124,Not classified
125,Angry
126,Sad
127,Surprise
128,Happy
129,Not classified
130,Not classified
131,Fear
132,Fear
133,Not classified
134,Happy
135,Sad
136,Happy
137,Surprise
138,Not classified
139,Happy
140,Not classified
141,Fear
142,Not classified
143,Surprise
144,Sad
145,Surprise
146,Not classified
147,Happy
148,Happy
149,Happy
150,Surprise
151,Not classified
152,Sad
153,Sad
154,Not classified
155,Happy
156,Surprise
157,Surprise
158,Not classified
159,Fear
160,Fear
161,Surprise
162,Not classified
163,Not classified
164,Surprise
165,Not classified
166,Not classified
167,Sad
168,Not classified
169,Sad
170,Not classified
171,Happy
172,Sad
173,Happy
174,Angry
175,Fear
176,Surprise
177,Sad
178,Happy
179,Not classified
180,Surprise
181,Not classified
182,Sad
183,Not classified
184,Not classified
185,Happy
186,Sad
187,Surprise
188,Sad
189,Happy
190,Surprise
191,Surprise
192,Surprise
193,Surprise
194,Fear
195,Not classified
196,Not classified
197,Not classified
198,Not classified
199,Happy
200,Happy
201,Sad
202,Fear
203,Fear
204,Surprise
205,Fear
206,Not classified
207,Sad
208,Not classified
209,Happy
210,Angry
211,Not classified
212,Not classified
213,Fear
214,Not classified
215,Happy
216,Angry
217,Not classified
218,Not classified
219,Surprise
220,Surprise
221,Not classified
222,Sad
223,Surprise
224,Fear
225,Angry
226,Not classified
227,Fear
228,Not classified
229,Not classified
230,Not classified
231,Happy
232,Happy
233,Not classified
234,Surprise
235,Fear
236,Not classified
237,Not classified
238,Not classified
239,Fear
240,Not classified
241,Not classified
242,Not classified
243,Not classified
244,Sad
245,Not classified
246,Not classified
247,Not classified
248,Angry
249,Not classified
250,Angry
251,Fear
252,Surprise
253,Happy
254,Not classified
255,Not classified
256,Fear
257,Surprise
258,Not classified
259,Sad
260,Not classified
261,Not classified
262,Not classified
263,Surprise
264,Fear
